DATE,XTIMVA01GBM667S
2021-07-01,56153719580.0788
2021-08-01,54897386815.4571
2021-09-01,58248322199.3314
2021-10-01,58904640361.189
2021-11-01,58736723970.179
2021-12-01,61349103817.0059
2022-01-01,68349432194.10449
2022-02-01,66765300750.462204
2022-03-01,68883246441.0042
2022-04-01,69542605172.1785
2022-05-01,68236880774.788506
2022-06-01,64341527608.9287
2022-07-01,63306235406.96
2022-08-01,65522916454.4868
2022-09-01,58274702403.1357
2022-10-01,59241823375.083496
2022-11-01,61817672022.694405
2022-12-01,70283469000.9128
2023-01-01,61240998189.377
2023-02-01,60197494402.1995
2023-03-01,57087573747.8849
